covariance_feature	other_family	other_feature	eligible_buckets	median_spearman	median_abs_spearman	generic_median_spearman	product_median_spearman	sign_consistency	min_spearman	max_spearman
rho	combinatorial	facet_neighbor_count_min	7	-0.08240121179742953	0.08240121179742953	-0.08240121179742953		0.8571428571428571	-0.10598995600208005	0.008525962795635838
rho	combinatorial	facet_vertex_count_min	7	-0.08240121179742953	0.08240121179742953	-0.08240121179742953		0.8571428571428571	-0.10598995600208005	0.008525962795635838
rho	combinatorial	facet_neighbor_count_std	7	0.07656460463087592	0.07656460463087592	0.07656460463087592		0.8571428571428571	-0.008525962795635838	0.2115869860095809
rho	combinatorial	facet_vertex_count_std	7	0.07656460463087592	0.07656460463087592	0.07656460463087592		0.8571428571428571	-0.008525962795635838	0.2112474207354058
nu2	combinatorial	ridge_size_std	7	0.0637914322734422	0.0637914322734422	0.0637914322734422		0.8571428571428571	-0.007311179308989466	0.14850880288635865
covariance_condition	combinatorial	ridge_size_std	7	0.04402368844516859	0.04402368844516859	0.04402368844516859		0.8571428571428571	-0.006515320455438697	0.12387016662873113
nu1	combinatorial	ridge_size_std	7	0.02629231476594896	0.02629231476594896	0.02629231476594896		0.8571428571428571	-0.016746380250709954	0.17819324429827701
rho	combinatorial	ridge_size_std	7	0.01227951849926357	0.01227951849926357	0.01227951849926357		0.8571428571428571	-0.005559755131099363	0.09921566960140595
rho	symplectic_face	ridge_symp_area_median_over_volume_sqrt	18	-0.22874290731823851	0.2646011387987663	-0.18913293875889697	-0.3187301013428939	0.8333333333333334	-0.4040426628102425	0.6987140010414163
nu1	symplectic_face	ridge_symp_area_sum_over_volume_sqrt	18	-0.2214692747987217	0.2214692747987217	-0.004309600552549786	-0.4100741966776339	0.8333333333333334	-0.6617531046598955	0.10901576143555236
nu1	combinatorial	ridge_size_max	6	0.0480937439555099	0.0480937439555099	0.0480937439555099		0.8333333333333334	-0.02844982308676748	0.17281125998172114
nu2	combinatorial	ridge_size_max	6	0.04440231454364975	0.04440231454364975	0.04440231454364975		0.8333333333333334	-0.008074448007567108	0.14286766787803376
rho	combinatorial	ridge_size_max	6	0.02737072814029019	0.02737072814029019	0.02737072814029019		0.8333333333333334	-0.01219375974525384	0.06864259699572442
nu2	combinatorial	facet_neighbor_count_max	5	0.09950267365769566	0.09950267365769566	0.09950267365769566		0.8	-0.005945907452964532	0.1703060070669153
nu2	combinatorial	facet_vertex_count_max	5	0.09950267365769566	0.09950267365769566	0.09950267365769566		0.8	-0.005945907452964532	0.1703060070669153
covariance_condition	combinatorial	facet_neighbor_count_max	5	0.08723602714985787	0.08723602714985787	0.08723602714985787		0.8	-0.006062493873610895	0.15949557032039433
covariance_condition	combinatorial	facet_vertex_count_max	5	0.08723602714985787	0.08723602714985787	0.08723602714985787		0.8	-0.006062493873610895	0.15949557032039433
nu2	combinatorial	ridge_size_min	5	-0.07354472879679884	0.07354472879679884	-0.07354472879679884		0.8	-0.09046729474737436	0.005945907452964532
rho	combinatorial	ridge_size_min	5	-0.05504831057603335	0.05504831057603335	-0.05504831057603335		0.8	-0.056149637640523754	0.005712734611671804
covariance_condition	combinatorial	ridge_size_min	5	-0.054621756344182974	0.054621756344182974	-0.054621756344182974		0.8	-0.097284665594513	0.006062493873610895
nu1	combinatorial	facet_neighbor_count_max	5	0.028629641217889766	0.028629641217889766	0.028629641217889766		0.8	-0.0076364105523368	0.1465990967457068
nu1	combinatorial	facet_vertex_count_max	5	0.028629641217889766	0.028629641217889766	0.028629641217889766		0.8	-0.0076364105523368	0.1465990967457068
rho	combinatorial	facet_neighbor_count_max	5	0.026680530443100033	0.026680530443100033	0.026680530443100033		0.8	-0.005712734611671804	0.15545351474240127
rho	combinatorial	facet_vertex_count_max	5	0.026680530443100033	0.026680530443100033	0.026680530443100033		0.8	-0.005712734611671804	0.15545351474240127
nu1	symplectic_face	ridge_symp_area_mean_over_volume_sqrt	18	-0.2191504962599089	0.2191504962599089	0.0034620697594106124	-0.4100741966776339	0.7222222222222222	-0.6617531046598955	0.11562698484224258
nu1	combinatorial	edge_count	7	-0.03374821162555305	0.05694113963931511	-0.03374821162555305		0.7142857142857143	-0.07675771581071034	0.11029652547326237
nu1	combinatorial	edge_density	7	0.03374821162555305	0.05694113963931511	0.03374821162555305		0.7142857142857143	-0.11029652547326237	0.07675771581071034
nu1	combinatorial	facet_neighbor_count_mean	7	-0.03374821162555305	0.05694113963931511	-0.03374821162555305		0.7142857142857143	-0.07675771581071034	0.11029652547326237
nu1	combinatorial	facet_vertex_count_mean	7	-0.03374821162555305	0.05694113963931511	-0.03374821162555305		0.7142857142857143	-0.07675771581071034	0.11029652547326237
nu1	combinatorial	ridge_count	7	-0.03374821162555305	0.05694113963931511	-0.03374821162555305		0.7142857142857143	-0.07675771581071034	0.11029652547326237
nu1	combinatorial	ridge_size_mean	7	-0.03374821162555305	0.05694113963931511	-0.03374821162555305		0.7142857142857143	-0.07675771581071034	0.11029652547326237
nu1	combinatorial	vertex_count	7	-0.03374821162555305	0.05694113963931511	-0.03374821162555305		0.7142857142857143	-0.07675771581071034	0.11029652547326237
nu1	symplectic_face	ridge_symp_area_ordered_face_count	7	-0.03374821162555305	0.05694113963931511	-0.03374821162555305		0.7142857142857143	-0.07675771581071034	0.11029652547326237
nu1	symplectic_face	ridge_symp_area_q95_over_volume_sqrt	18	-0.15924617762408552	0.22048740751708035	0.13057770411246689	-0.34199914169229667	0.6666666666666666	-0.6612014966740576	0.22847080958675225
nu1	symplectic_face	ridge_symp_area_q90_over_volume_sqrt	18	-0.17786092665615394	0.1968013731634038	0.06784657570219868	-0.3498292772333881	0.6666666666666666	-0.6592240808955009	0.19522237743330928
nu1	symplectic_face	ridge_symp_area_max_share	18	0.043128643337386446	0.12994097334441473	0.2761902663462645	0.022042157752545748	0.6666666666666666	-0.5201113704971404	0.3230434462297296
nu1	symplectic_face	ridge_symp_area_std_over_volume_sqrt	18	-0.14321730184383336	0.23624839272601586	0.14990161304247723	-0.330789207227666	0.6111111111111112	-0.6637368236356483	0.24127626071457184
nu1	symplectic_face	ridge_symp_area_max_over_volume_sqrt	18	-0.12449878175712134	0.22385868133515452	0.15615215264187862	-0.29884636962663613	0.6111111111111112	-0.6593892045454545	0.24435634248291965
nu1	combinatorial	ridge_size_min	5	-0.038960973056689954	0.038960973056689954	-0.038960973056689954		0.6	-0.09078073708517384	0.0076364105523368
nu2	combinatorial	edge_count	7	-0.026065860820362028	0.07312901112909752	-0.026065860820362028		0.5714285714285714	-0.1046865007610916	0.07312901112909752
nu2	combinatorial	edge_density	7	0.026065860820362028	0.07312901112909752	0.026065860820362028		0.5714285714285714	-0.07312901112909752	0.1046865007610916
nu2	combinatorial	facet_neighbor_count_mean	7	-0.026065860820362028	0.07312901112909752	-0.026065860820362028		0.5714285714285714	-0.1046865007610916	0.07312901112909752
nu2	combinatorial	facet_vertex_count_mean	7	-0.026065860820362028	0.07312901112909752	-0.026065860820362028		0.5714285714285714	-0.1046865007610916	0.07312901112909752
nu2	combinatorial	ridge_count	7	-0.026065860820362028	0.07312901112909752	-0.026065860820362028		0.5714285714285714	-0.1046865007610916	0.07312901112909752
nu2	combinatorial	ridge_size_mean	7	-0.026065860820362028	0.07312901112909752	-0.026065860820362028		0.5714285714285714	-0.1046865007610916	0.07312901112909752
nu2	combinatorial	vertex_count	7	-0.026065860820362028	0.07312901112909752	-0.026065860820362028		0.5714285714285714	-0.1046865007610916	0.07312901112909752
nu2	symplectic_face	ridge_symp_area_ordered_face_count	7	-0.026065860820362028	0.07312901112909752	-0.026065860820362028		0.5714285714285714	-0.1046865007610916	0.07312901112909752
covariance_condition	combinatorial	edge_count	7	-0.023734436971634902	0.05983727899794053	-0.023734436971634902		0.5714285714285714	-0.10296327929593263	0.07472316804188373
covariance_condition	combinatorial	edge_density	7	0.023734436971634902	0.05983727899794053	0.023734436971634902		0.5714285714285714	-0.07472316804188373	0.10296327929593263
covariance_condition	combinatorial	facet_neighbor_count_mean	7	-0.023734436971634902	0.05983727899794053	-0.023734436971634902		0.5714285714285714	-0.10296327929593263	0.07472316804188373
covariance_condition	combinatorial	facet_vertex_count_mean	7	-0.023734436971634902	0.05983727899794053	-0.023734436971634902		0.5714285714285714	-0.10296327929593263	0.07472316804188373
covariance_condition	combinatorial	ridge_count	7	-0.023734436971634902	0.05983727899794053	-0.023734436971634902		0.5714285714285714	-0.10296327929593263	0.07472316804188373
covariance_condition	combinatorial	ridge_size_mean	7	-0.023734436971634902	0.05983727899794053	-0.023734436971634902		0.5714285714285714	-0.10296327929593263	0.07472316804188373
covariance_condition	combinatorial	vertex_count	7	-0.023734436971634902	0.05983727899794053	-0.023734436971634902		0.5714285714285714	-0.10296327929593263	0.07472316804188373
covariance_condition	symplectic_face	ridge_symp_area_ordered_face_count	7	-0.023734436971634902	0.05983727899794053	-0.023734436971634902		0.5714285714285714	-0.10296327929593263	0.07472316804188373
rho	combinatorial	edge_count	7	0.006624048299180434	0.0491613343624029	0.006624048299180434		0.5714285714285714	-0.09077867128511778	0.05766413295020738
rho	combinatorial	edge_density	7	-0.006624048299180434	0.0491613343624029	-0.006624048299180434		0.5714285714285714	-0.05766413295020738	0.09077867128511778
rho	combinatorial	facet_neighbor_count_mean	7	0.006624048299180434	0.0491613343624029	0.006624048299180434		0.5714285714285714	-0.09077867128511778	0.05766413295020738
rho	combinatorial	facet_vertex_count_mean	7	0.006624048299180434	0.0491613343624029	0.006624048299180434		0.5714285714285714	-0.09077867128511778	0.05766413295020738
rho	combinatorial	ridge_count	7	0.006624048299180434	0.0491613343624029	0.006624048299180434		0.5714285714285714	-0.09077867128511778	0.05766413295020738
rho	combinatorial	ridge_size_mean	7	0.006624048299180434	0.0491613343624029	0.006624048299180434		0.5714285714285714	-0.09077867128511778	0.05766413295020738
rho	combinatorial	vertex_count	7	0.006624048299180434	0.0491613343624029	0.006624048299180434		0.5714285714285714	-0.09077867128511778	0.05766413295020738
rho	symplectic_face	ridge_symp_area_ordered_face_count	7	0.006624048299180434	0.0491613343624029	0.006624048299180434		0.5714285714285714	-0.09077867128511778	0.05766413295020738
nu2	symplectic_face	ridge_symp_area_q25_over_volume_sqrt	18	0.232653804643757	0.4485402176897555	-0.40399832164601	0.5260733826940724	0.5555555555555556	-0.5283959399068447	0.6753746490773191
covariance_condition	symplectic_face	ridge_symp_area_q25_over_volume_sqrt	18	0.1933259531365645	0.4303638491941477	-0.3803930935357801	0.5120855269094204	0.5555555555555556	-0.48607865625822544	0.6535943646734854
rho	symplectic_face	ridge_symp_area_q25_over_volume_sqrt	18	0.2254759480533597	0.36903441477402493	-0.2753681014583194	0.5081025427764133	0.5555555555555556	-0.38118260477106003	0.6570222422394678
nu2	symplectic_face	ridge_symp_area_min_over_volume_sqrt	18	0.07592630790610529	0.17221752508852678	-0.17109910023850922	0.17339866857827155	0.5555555555555556	-0.21882528095352535	0.1883961569646854
nu1	symplectic_face	ridge_symp_area_top3_share	18	-0.020269312915482802	0.17174121867948555	0.2815710926734308	-0.0634488993991846	0.5555555555555556	-0.5109711789566302	0.3350925115299665
covariance_condition	symplectic_face	ridge_symp_area_min_over_volume_sqrt	18	0.06602556449110897	0.15767073553926472	-0.14700716083116733	0.16241353075394271	0.5555555555555556	-0.17304712981082843	0.18813167472269018
rho	symplectic_face	ridge_symp_area_min_over_volume_sqrt	18	0.06914442015638977	0.12580348502318028	-0.10835484236502818	0.15970157586792108	0.5555555555555556	-0.21377645025806527	0.19383669093955008
