selection	fraction	group	n	spearman	R_min	R_max	sys_min	sys_max
low_R	1.0	G08	512	-0.9489128428949085	11.007140400814665	8866.989383772458	2.0327844013814595e-06	0.7448532509168573
low_R	1.0	G09	512	-0.933354004302995	13.008757432593988	380.49499683089334	0.0007479595851122088	0.7811353314855473
low_R	1.0	G10	512	-0.9032457356290269	11.894197244832187	135.27044990613805	0.0046854202529284916	0.8595596058028344
low_R	1.0	G11	512	-0.8644884721793067	11.872415245017677	214.14655738639325	0.0025336082365968408	0.7835927061265431
low_R	1.0	G12	512	-0.840943772816745	12.475394166668492	1523.0636892599393	6.889885865753428e-05	0.8247662746241669
low_R	1.0	P3x3	1024	-0.997102339782562	12.206403909027228	816.7788186584879	0.00019185378973742608	0.6464199674959318
low_R	1.0	P3x4	1024	-0.9837245860453471	11.76521412117614	608.893882958905	0.00023580152631749206	0.7119073397957835
low_R	1.0	P3x5	1024	-0.9751292714219297	11.10919623389961	3055.0194369665473	1.3619216643341758e-05	0.7650778325167292
low_R	1.0	P3x6	1024	-0.9745203199878405	10.769324413781826	1829.6540870172107	2.9797217476647493e-05	0.8073487367323776
low_R	1.0	P4x4	1024	-0.967814500482798	9.789933856974514	431.5570247287469	0.0006529850395571487	0.8141002333029529
low_R	1.0	P4x5	1024	-0.9589219521135827	9.513616925654807	291.68742427359933	0.0010676457371832514	0.8381244889295797
low_R	1.0	P4x6	1024	-0.9406243741506328	9.584511899485836	1152.282127009701	9.601533052329054e-05	0.8292665551981732
low_R	1.0	P5x5	1024	-0.928933932658608	8.925917889909165	232.62988692975125	0.0014871974285491458	0.8437955079134134
low_R	1.0	P5x6	1024	-0.9076726897217653	9.183382712781459	263.7615689651137	0.0014421949035220163	0.86258589584944
low_R	1.0	P6x6	1024	-0.87767912702954	9.070259628314721	185.62985487952153	0.002305048917497889	0.8536118881702471
low_R	0.5	G05	256	-0.8990043488212405	13.481015904770645	32.4473594458527	0.07867606984761545	0.714410363898728
low_R	0.5	G06	256	-0.8806091210803386	13.465125318730331	26.26041655229927	0.11027516770092836	0.6908550887351059
low_R	0.5	G07	256	-0.8070532444495307	11.924671717770792	22.089788688187607	0.11200494520028093	0.7458522392903429
low_R	0.5	G08	256	-0.7476553559166856	11.007140400814665	21.42016899430233	0.14026810507699924	0.7448532509168573
low_R	0.5	G09	256	-0.6836375600823986	13.008757432593988	19.633832541547907	0.15118722684826486	0.7811353314855473
low_R	0.5	G10	256	-0.6351396200503546	11.894197244832187	18.131860950053227	0.2107665194483594	0.8595596058028344
low_R	0.5	G11	256	-0.4766966124971388	11.872415245017677	17.83667909772876	0.2610257013471475	0.7835927061265431
low_R	0.5	G12	256	-0.5029011215381093	12.475394166668492	17.008175221460437	0.25197596483651025	0.8247662746241669
low_R	0.5	P3x3	512	-0.9773837061260457	12.206403909027228	27.20404294327159	0.16006786740299567	0.6464199674959318
low_R	0.5	P3x4	512	-0.9104763728670993	11.76521412117614	22.148426179444847	0.1514682488347362	0.7119073397957835
low_R	0.5	P3x5	512	-0.8807960075702956	11.10919623389961	18.750317891524222	0.14996989928759433	0.7650778325167292
low_R	0.5	P3x6	512	-0.8819704619711379	10.769324413781826	17.615424963012913	0.1911101267657179	0.8073487367323776
