selection	fraction	group	selected_ids_sha256
low_R	0.2	G05	b505fdae61b3f065c1ec3eacf4fb72d5d42193833b50b819b2dc6d22885ef407
low_R	0.2	G06	ab200f5a828257abdddb6dd56887b6c21e3acb5ebcfcd6fb087d36332809d64d
low_R	0.2	G07	f0ec0180e12f54c18ff636da6c3be7a05f84af6bd2c57f7eb18e7bd90785f46d
low_R	0.2	G08	29e904726b1196e8015a1a096e6b71a385919bd6408d4bb4eb09986498fa18d6
low_R	0.2	G09	b52dafda1c1682fc15805ac898651c5bb47a918b88b064cfe661baca428e2b18
low_R	0.2	G10	471787e0ce75f09cac18b29927ae56c21d6291697fc291e3498fcd97ac07aa7d
low_R	0.2	G11	a40a8378cbfbdc819ee6e8e25fcdb819dcb70643ae01b41be6bc8d7631f85093
low_R	0.2	G12	6c633961f3a9a214e678ae38b2fe8f05b33a68a43969315c20e04ebdc8c938fd
low_R	0.2	P3x3	c88f38e01c3cdcfa0dc6870554e9b3716cf4894a357fe1faef2adb354ca130c9
low_R	0.2	P3x4	3513f565a31b2467e2629fbf4714932b38b70fa3773bbfc61bd315fa9d77602b
low_R	0.2	P3x5	43bdcbaaf886a9d71124af5e58c16e40817fe357b087e39cf27fa544f4625c01
low_R	0.2	P3x6	186be44a414e4c10f8afb7ad2234b1ab3292acc61d12c46865fd2adc0d123f09
low_R	0.2	P4x4	866b6dbc8a405a9b4541e813b014da01ddbd6a03ee59cda1f5880f06fe31ff69
low_R	0.2	P4x5	80b3527000a6ca757ce53eba0649698fbb7c74f80bf9092c38a577f71dbb3d5f
low_R	0.2	P4x6	aaffbecd67d01950474d6a106cec437b8945d7dc7cacdafe4e05787f0d4f0873
low_R	0.2	P5x5	16eaf51242552413c52dbfec635146b8cc859d5ca8f67ec7d49c6bae1619371c
low_R	0.2	P5x6	3f8fa65bfbab1ef6ce3a483c0b2f5b06b4a295fb52a31623a080c785028828c6
low_R	0.2	P6x6	f56fd2736a9b8e1d7bd1f96c2433f48aae60f941be67434de7ccf04d8d6120ba
low_R	0.1	G05	40831e3a54f58aabaaee12907b1c5ba104199874f1ff7c0fffd1b44f93772103
low_R	0.1	G06	f60629feed188b13d7a4553c72e24494cc90c73804b91c6c08a7eacde4ccac91
low_R	0.1	G07	4b4c53477474c9b0dc1c79f5b336cad0d9c7eb7b6878b679924cf2f561972465
low_R	0.1	G08	cd9b3affe0af88bb01aa96018bfb397176105a9e07398ac314deb41539df7f67
low_R	0.1	G09	3bbc0991f9f91c5de6718ab4ef7a36db5db2c13c3bf4a98e7a8d1ff98aaaa93c
low_R	0.1	G10	e984ef37bf6b6cf289795cc13972af9ec353bc3782a13603e444206af56bcc08
low_R	0.1	G11	35147885fc0e89d827e61f54da82ee11a62e2116879991dad4853b1f98a94b4f
low_R	0.1	G12	656489db02839bc7221a4b284647ecdbc62b13d538063bb44e7453571f2c52e4
low_R	0.1	P3x3	2a9115054e6a50892e33bd4275f113be8d637dcd41e39fc0c4620d1b68dbaf13
low_R	0.1	P3x4	54f7c6d4ad638b5c75678cb93efbb0583d6dbb37f21274e4d33e19548558bb5d
low_R	0.1	P3x5	9427c37c6aebcef49e8e37a407c1a80c8da7b54db5255017833d1ceb199d463a
low_R	0.1	P3x6	71d8ef748fcecf8c8b0d6000480cf46548f8f8ee68db1fe14fe3d098baa79675
low_R	0.1	P4x4	2fcdabd87d920b91d0b3ce1c099a1ca49c9753b0c40536410b6966305f2d7537
low_R	0.1	P4x5	d126cb972747300a0a211ba1ad0ede7535476afd5c84364edc71a0b1ca96e5b6
low_R	0.1	P4x6	07fbda59f7d5a47f3b702a075f862c86cb10dc43c2879e46bc2622eeeb9705c4
low_R	0.1	P5x5	5c7741646dcbabb80e37b56c9f8ae3ba822ef1dece1e8c1941d35e14f8ae6545
low_R	0.1	P5x6	5c97f57e61c1c7c2d52859372f85cbbb15c74dbbc047d1e41383a0610b854d05
low_R	0.1	P6x6	e60fd45fdede150836e25792f68d69fc0ee39688823926febd18ba7a7001d854
low_R	0.05	G05	822d766cf5ad9c07f4d08186ed5d25c8c27537a4b2b1f12340d2d323ec3dd2fa
low_R	0.05	G06	f7d4e2c8aedf6ff64d10b18a54984d5d08342cae8198afeaeafb312919e18660
low_R	0.05	G07	fffd9fab333da64f8cf668088f165f1d25eae6207df4aaab23c7e9073a345343
low_R	0.05	G08	7e72284dcedeb39c846c7c584cfe92feb8d3e8a4291c21fd20b3872e6d928a39
low_R	0.05	G09	f24fcf55ee029eb3b73cb69673b8aa0c2c3c5c967d8eab6d1b78d2f0768b39eb
low_R	0.05	G10	31889e369880f94bdfd8cc0c5cc0f409445ff187b2aa1f07cafca96d0565aaf0
low_R	0.05	G11	e0e31bbea62b91acb4091f859a3a9a98d9d7759e2eaa24b80eaf6292c0197301
