source_name	group	baseline_R	balanced_R	delta_R	baseline_sys	balanced_sys	delta_sys	baseline_covariance_rho	balanced_covariance_rho
random_5x6_s2_178	5x6	9.584948359286699	9.747763653400582	0.16281529411388362	0.6023042019203518	0.5900992903751114	-0.012204911545240393	1.357089738067629	1.0000000000000002
random_6x6_s3_147	6x6	11.096287938910123	10.089787073650033	-1.0065008652600902	0.41509065377464704	0.6786647388506105	0.26357408507596347	1.637234086558909	1.0000000000000002
random_3x3_s3_93	3x3	45.08699516798775	13.855886643943238	-31.231108524044515	0.062376323940766164	0.6600977370445142	0.597721413103748	34.94789673736316	1.0000000000000033
random_3x4_s2_224	3x4	17.954509706103988	11.648604513543688	-6.305905192560299	0.27357615016622655	0.6811760613581813	0.40759991119195477	5.104157575694787	1.0000000000000004
random_3x5_s2_130	3x5	19.61604892579851	11.230118833556988	-8.385930092241521	0.2087602341202681	0.6453328077672059	0.4365725736469378	6.488085037434678	1.0000000000000004
random_3x6_s1_201	3x6	55.24591835834589	11.532046426154105	-43.713871932191786	0.03385872737474226	0.5805114975540157	0.5466527701792734	62.74607390258958	1.0000000000000282
random_4x4_s2_148	4x4	14.562964793606096	12.775375012345956	-1.7875897812601398	0.4458614020049179	0.6076010856329876	0.16173968362806973	2.608665414681837	1.0000000000000009
random_4x5_s1_238	4x5	17.050302020742816	11.336089512825426	-5.71421250791739	0.2176849859767861	0.6975702719994687	0.47988528602268266	5.7183719865656615	1.0000000000000009
random_4x6_s1_239	4x6	11.702160753732576	11.13248565720999	-0.5696750965225856	0.6562640069120472	0.6973075311508667	0.04104352423881952	1.9515857079654175	1.0
random_5x5_s1_136	5x5	12.655772607372477	10.999761343439136	-1.6560112639333404	0.5022045959397186	0.7850694733504171	0.28286487741069855	2.301729550956266	1.0000000000000004
random_5x6_s2_166	5x6	11.425312522060464	11.186273538901832	-0.2390389831586326	0.622757971763757	0.677396309735816	0.05463833797205897	1.243237944016963	1.0
random_6x6_s2_179	6x6	14.148270863258732	10.928351235723092	-3.2199196275356403	0.42186821356426374	0.7152276051226633	0.2933593915583995	2.6706774443684833	1.0
random_3x3_s1_116	3x3	37.57224111298287	12.029802487283112	-25.54243862569976	0.08665141176777429	0.5000093217166574	0.41335790994888305	21.053827789229118	1.0000000000000004
random_3x4_s0_212	3x4	16.38951884601011	12.571964032576815	-3.8175548134332935	0.4276216548859148	0.6763103307684203	0.24868867588250548	3.679742355713061	1.0000000000000007
random_3x5_s0_175	3x5	67.42195279390894	12.760378470008648	-54.6615743239003	0.024754942176257552	0.5120918027958911	0.4873368606196335	72.3914987522493	1.0000000000000109
random_3x6_s3_13	3x6	13.039443038688464	12.60949505322761	-0.42994798546085455	0.548640409988422	0.6099650726416866	0.06132466265326464	1.886674538201583	1.0000000000000004
random_4x4_s0_75	4x4	12.902638970598371	10.891772103277745	-2.010866867320626	0.44544235897061774	0.6050346938717814	0.1595923349011637	2.7630810255822635	1.0000000000000002
random_4x5_s0_140	4x5	52.27248872989775	11.771195511628052	-40.5012932182697	0.04221412165426353	0.5640179603694822	0.5218038387152186	41.80138045093529	1.0000000000000122
random_4x6_s3_151	4x6	13.959466278216942	10.99102340089139	-2.9684428773255522	0.33788914163469747	0.7806002377458249	0.4427110961111274	3.4695924379265044	1.0000000000000002
