contrast	definition	denominator	effect	master_seed	pass	side_count	strong_threshold	substantial_threshold	tail_threshold	value
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=16]	20260718	NA	3	NA	NA	NA	0.22893163481553272
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=4]	20260718	NA	3	NA	NA	NA	0.38764290388920286
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=1]	20260718	NA	3	NA	NA	NA	0.8138461976724856
narrow_negative_controls	four-step mutation remains narrower than equal-support alpha=1 in this stratum	NA	mutation_within_lt_alpha1	20260718	True	3	NA	NA	NA	1
narrow_negative_controls	alpha=16 remains narrower than equal-support alpha=1 in this stratum	NA	alpha16_within_lt_alpha1	20260718	True	3	NA	NA	NA	1
narrow_negative_controls	within-law diversity order alpha16 <= alpha4 <= alpha1	NA	alpha4_between_alpha16_alpha1	20260718	True	3	NA	NA	NA	1
thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	NA	q95_covariance_anisotropy:current-baseline[delta=0.2]	20260718	True	3	NA	NA	10.0	3472.372951234332
thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	NA	q95_covariance_anisotropy:repulsive-gap[alpha=1]	20260718	True	3	NA	NA	10.0	1144.0569850408917
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	baseline_to_alpha1_overlap_fraction	20260718	True	4	NA	0.5	NA	0.9166666666666666
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	alpha1_to_baseline_overlap_fraction	20260718	True	4	NA	0.5	NA	0.9166666666666666
baseline_vs_alpha1_nearest_cross_overlap	both directed overlap fractions >= 0.5	24	bidirectional_substantial	20260718	True	4	NA	1	NA	1
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha16_cross_l2_mean	20260718	True	4	NA	NA	NA	0.08239511030292607
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha4_cross_l2_mean	20260718	True	4	NA	NA	NA	0.290467146602626
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha1_cross_l2_mean	20260718	True	4	NA	NA	NA	0.6906245687686522
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[regular]	20260718	NA	4	NA	NA	NA	0.007419500058841377
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:regular-mutation[steps=4,scale=0.03]	20260718	NA	4	NA	NA	NA	0.019891834093504483
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=16]	20260718	NA	4	NA	NA	NA	0.06879638337967994
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=4]	20260718	NA	4	NA	NA	NA	0.3193184937223382
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=1]	20260718	NA	4	NA	NA	NA	0.8922777109350812
narrow_negative_controls	four-step mutation remains narrower than equal-support alpha=1 in this stratum	NA	mutation_within_lt_alpha1	20260718	True	4	NA	NA	NA	1
narrow_negative_controls	alpha=16 remains narrower than equal-support alpha=1 in this stratum	NA	alpha16_within_lt_alpha1	20260718	True	4	NA	NA	NA	1
narrow_negative_controls	within-law diversity order alpha16 <= alpha4 <= alpha1	NA	alpha4_between_alpha16_alpha1	20260718	True	4	NA	NA	NA	1
zonogon_vs_baseline_diversity	strongly exceeds means ratio >= 2; all values are finite-panel raw-grid summaries	NA	within_l2_ratio_zonogon_over_baseline	20260718	False	4	2.0	NA	NA	1.3652089996743824
thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	NA	q95_covariance_anisotropy:current-baseline[delta=0.2]	20260718	True	4	NA	NA	10.0	382.4203764206007
thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	NA	q95_covariance_anisotropy:repulsive-gap[alpha=1]	20260718	True	4	NA	NA	10.0	902.6031195896962
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	baseline_to_alpha1_overlap_fraction	20260718	True	6	NA	0.5	NA	0.9166666666666666
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	alpha1_to_baseline_overlap_fraction	20260718	True	6	NA	0.5	NA	0.9166666666666666
baseline_vs_alpha1_nearest_cross_overlap	both directed overlap fractions >= 0.5	24	bidirectional_substantial	20260718	True	6	NA	1	NA	1
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha16_cross_l2_mean	20260718	True	6	NA	NA	NA	0.03804723871066043
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha4_cross_l2_mean	20260718	True	6	NA	NA	NA	0.07414399454232612
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha1_cross_l2_mean	20260718	True	6	NA	NA	NA	0.2582521670244471
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[regular]	20260718	NA	6	NA	NA	NA	0.0014958558382602264
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:regular-mutation[steps=4,scale=0.03]	20260718	NA	6	NA	NA	NA	0.01711750043840854
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=16]	20260718	NA	6	NA	NA	NA	0.03181888806318461
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=4]	20260718	NA	6	NA	NA	NA	0.06554404147621441
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=1]	20260718	NA	6	NA	NA	NA	0.21835942602468594
narrow_negative_controls	four-step mutation remains narrower than equal-support alpha=1 in this stratum	NA	mutation_within_lt_alpha1	20260718	True	6	NA	NA	NA	1
narrow_negative_controls	alpha=16 remains narrower than equal-support alpha=1 in this stratum	NA	alpha16_within_lt_alpha1	20260718	True	6	NA	NA	NA	1
narrow_negative_controls	within-law diversity order alpha16 <= alpha4 <= alpha1	NA	alpha4_between_alpha16_alpha1	20260718	True	6	NA	NA	NA	1
