definition	first_stable_n	master_seed	pairwise_l2_mean	population	relative_change	requested_n	side_count	stability_threshold	used_n
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.14160547743434726	repulsive-gap[alpha=4]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.20907163218765326	repulsive-gap[alpha=4]	0.47643746538396037	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.26447643136209087	repulsive-gap[alpha=4]	0.26500390605220303	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.544856218024567	repulsive-gap[alpha=4]	1.0601314650930547	24	3	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.2927739446860425	repulsive-gap[alpha=1]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	1.6441116239788989	repulsive-gap[alpha=1]	4.615635044785046	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	2.5613978914123625	repulsive-gap[alpha=1]	0.5579221350029433	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	1.5926746040574316	repulsive-gap[alpha=1]	0.3782010169535878	24	3	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.5193775283076861	current-baseline[delta=0.2]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.43789637074791166	current-baseline[delta=0.2]	0.1568823314810493	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260717	0.39698133270552244	current-baseline[delta=0.2]	0.09343543535770293	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260717	0.37160314166105646	current-baseline[delta=0.2]	0.06392792041758628	24	3	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.008863641525171629	repulsive-gap[regular]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.008090529366659637	repulsive-gap[regular]	0.08722285939886555	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.0077642313679527645	repulsive-gap[regular]	0.04033085894867627	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.00716464029428941	repulsive-gap[regular]	0.07722478185518733	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.02643639991778488	regular-mutation[steps=4,scale=0.03]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.026025907935181225	regular-mutation[steps=4,scale=0.03]	0.015527529613723933	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260717	0.024529192467732865	regular-mutation[steps=4,scale=0.03]	0.057508674478369874	12	4	0.15	12
