evidence_source	slice	hypothesis	control_or_bucket	classification	n_selected	selected_mean_sys	selected_max_sys	baseline_mean_sys	baseline_p95_sys	selected_above_baseline_p95	effect_size	support_detail	interpretation_boundary
retained_fixed_source_facet_buckets	random_sample:facet_5:top_decile	low_ridge_magnitude_signal	random_sample:facet_5	survives	77						6.00999000999001	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.61039; recall=0.903846; spearman=-0.981702	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_6:top_decile	low_ridge_magnitude_signal	random_sample:facet_6	survives	77						5.882117882117882	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.597403; recall=0.884615; spearman=-0.974367	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_8:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_8	survives	308						5.676274944567628	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.568182; recall=0.853659; spearman=-0.970262	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_8:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_8	survives	308						5.611403230915426	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.561688; recall=0.843902; spearman=-0.972097	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_9:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_9	survives	308						5.578967374089325	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.558442; recall=0.839024; spearman=-0.967847	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_9:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_9	survives	308						5.384352233132721	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.538961; recall=0.809756; spearman=-0.959431	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_7:top_decile	low_ridge_magnitude_signal	random_sample:facet_7	survives	77						5.242757242757242	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.532468; recall=0.788462; spearman=-0.961429	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_9:top_decile	low_ridge_magnitude_signal	random_sample:facet_9	survives	77						5.242757242757242	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.532468; recall=0.788462; spearman=-0.933354	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_7:top_decile	low_ridge_magnitude_signal	random_sample:facet_7	survives	77						4.987012987012987	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.506494; recall=0.75; spearman=-0.959689	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_10:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_10	survives	308						4.8978143807412104	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.49026; recall=0.736585; spearman=-0.935326	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_9:top_decile	low_ridge_magnitude_signal	random_sample:facet_9	survives	77						4.859140859140859	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.493506; recall=0.730769; spearman=-0.926078	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_10:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_10	survives	308						4.7680709534368075	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.477273; recall=0.717073; spearman=-0.932836	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_10:top_decile	low_ridge_magnitude_signal	random_sample:facet_10	survives	77						4.603396603396603	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.467532; recall=0.692308; spearman=-0.903246	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_8:top_decile	low_ridge_magnitude_signal	random_sample:facet_8	survives	77						4.475524475524475	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.454545; recall=0.673077; spearman=-0.948913	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_8:top_decile	low_ridge_magnitude_signal	random_sample:facet_8	survives	77						4.347652347652348	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.441558; recall=0.653846; spearman=-0.948783	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_10:top_decile	low_ridge_magnitude_signal	random_sample:facet_10	survives	77						4.347652347652348	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.441558; recall=0.653846; spearman=-0.89669	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_11:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_11	survives	154						4.196192157357205	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.422078; recall=0.631068; spearman=-0.907673	retained-table fixed source/facet diagnostic; not generated-candidate validation
