=== Crosspolytope EHZ Capacity Experiment ===
Facets: 16
Total search space: 3809950976992 (S,σ) pairs
Starting computation...

[    0.0s] m= 2/16 DONE | this_m:          112 eval,            8 pruned (  6.7%) of          120 | cumul:          112 eval,            8 pruned | progress: 0.000000% | best: none | ETA: 21654460s (total est: 21654460s)
[  800.0s] m= 9/16 ...  | this_m:      6358626 eval,      4669742 pruned ( 42.3%) of    461260800 | cumul:     48463722 eval,     36744198 pruned | progress: 0.002236% | best: 4.000000 | ETA: 35770094s (total est: 35770894s)
[  810.0s] m= 9/16 ...  | this_m:      6883335 eval,      5155956 pruned ( 42.8%) of    461260800 | cumul:     48988431 eval,     37230412 pruned | progress: 0.002263% | best: 4.000000 | ETA: 35792561s (total est: 35793371s)
[  820.0s] m= 9/16 ...  | this_m:      7407394 eval,      5757770 pruned ( 43.7%) of    461260800 | cumul:     49512490 eval,     37832226 pruned | progress: 0.002293% | best: 4.000000 | ETA: 35767372s (total est: 35768192s)
[  830.0s] m= 9/16 ...  | this_m:      7937904 eval,      6152898 pruned ( 43.7%) of    461260800 | cumul:     50043000 eval,     38227354 pruned | progress: 0.002317% | best: 4.000000 | ETA: 35823906s (total est: 35824736s)
[  840.0s] m= 9/16 ...  | this_m:      8468988 eval,      6474074 pruned ( 43.3%) of    461260800 | cumul:     50574084 eval,     38548530 pruned | progress: 0.002339% | best: 4.000000 | ETA: 35908808s (total est: 35909648s)
[  850.0s] m= 9/16 ...  | this_m:      8995619 eval,      6932040 pruned ( 43.5%) of    461260800 | cumul:     51100715 eval,     39006496 pruned | progress: 0.002365% | best: 4.000000 | ETA: 35939240s (total est: 35940090s)
[  860.0s] m= 9/16 ...  | this_m:      9525120 eval,      7409281 pruned ( 43.8%) of    461260800 | cumul:     51630216 eval,     39483737 pruned | progress: 0.002391% | best: 4.000000 | ETA: 35960348s (total est: 35961208s)
[  870.0s] m= 9/16 ...  | this_m:     10050016 eval,      7838972 pruned ( 43.8%) of    461260800 | cumul:     52155112 eval,     39913428 pruned | progress: 0.002417% | best: 4.000000 | ETA: 36001302s (total est: 36002172s)
[  880.0s] m= 9/16 ...  | this_m:     10578734 eval,      8308891 pruned ( 44.0%) of    461260800 | cumul:     52683830 eval,     40383347 pruned | progress: 0.002443% | best: 4.000000 | ETA: 36024355s (total est: 36025235s)
[  890.0s] m= 9/16 ...  | this_m:     11107278 eval,      8668632 pruned ( 43.8%) of    461260800 | cumul:     53212374 eval,     40743088 pruned | progress: 0.002466% | best: 4.000000 | ETA: 36089257s (total est: 36090147s)
