selection	fraction	group	n	observed	simulated_mean	simulated_median	pointwise_lower_025	pointwise_upper_975	observed_above_envelope	observed_below_envelope
low_R	0.1	P3x6	103	-0.6012498352589729	-0.8213946096735931	-0.8259840530685763	-0.8857295830953741	-0.7308062975003295	True	False
low_R	0.05	P3x6	52	-0.5534875779048919	-0.7884133868351405	-0.7960812772133526	-0.8943396226415095	-0.6508110646290446	True	False
low_R	0.02	P3x6	21	0.0025974025974025974	-0.7380467532467533	-0.7558441558441559	-0.9091233766233766	-0.44282467532467534	True	False
low_R	0.01	P3x6	11	-0.3181818181818182	-0.6934181818181818	-0.7363636363636363	-0.9454545454545454	-0.22704545454545474	False	False
high_sys	1.0	P4x4	1024	-0.967814500482798	-0.9674158859344825	-0.9675875015646234	-0.9715211970151456	-0.9619673541323939	False	False
high_sys	0.5	P4x4	512	-0.823095749505041	-0.9013025086438986	-0.9018572401322942	-0.9192401465099679	-0.8786473152594672	True	False
high_sys	0.2	P4x4	205	-0.5591397250351715	-0.8335965942806202	-0.8351060717917287	-0.8774982588346728	-0.7777127355796688	True	False
high_sys	0.1	P4x4	103	-0.3357751614462066	-0.7910623929183324	-0.7948754557835083	-0.870036078284936	-0.6915877740192418	True	False
high_sys	0.05	P4x4	52	-0.4462562964227781	-0.750604029710578	-0.7591138051737385	-0.8688743276701101	-0.5767181763852132	True	False
high_sys	0.02	P4x4	21	0.01948051948051948	-0.6931324675324676	-0.7155844155844155	-0.8909090909090909	-0.38698051948051954	True	False
high_sys	0.01	P4x4	11	-0.39090909090909093	-0.6555636363636363	-0.6909090909090909	-0.9272727272727272	-0.17272727272727273	False	False
low_R	1.0	P4x4	1024	-0.967814500482798	-0.9674158859344825	-0.9675875015646234	-0.9715211970151456	-0.9619673541323939	False	False
low_R	0.5	P4x4	512	-0.8125267327851592	-0.9012871303186618	-0.9016797666254678	-0.919674118408178	-0.8793357068291447	True	False
low_R	0.2	P4x4	205	-0.5118482818180552	-0.8331871488069534	-0.8355169868089315	-0.8765928528645651	-0.7786642127843323	True	False
low_R	0.1	P4x4	103	-0.32613231999297104	-0.7911354940034266	-0.7943647585994815	-0.8651915938145236	-0.6915822826516715	True	False
low_R	0.05	P4x4	52	-0.15282165115683427	-0.7487810125501579	-0.7553572953129002	-0.8625458891829592	-0.5908605822590285	True	False
low_R	0.02	P4x4	21	0.34935064935064936	-0.7004857142857143	-0.7227272727272727	-0.8948376623376624	-0.40383116883116893	True	False
low_R	0.01	P4x4	11	0.5454545454545455	-0.6624	-0.7	-0.9363636363636364	-0.13613636363636383	True	False
high_sys	1.0	P4x5	1024	-0.9589219521135827	-0.9585236233549103	-0.9586327538266218	-0.9636530693441099	-0.9525000019557793	False	False
high_sys	0.5	P4x5	512	-0.7956098865886176	-0.8785625293255971	-0.8792500211001247	-0.900153559287059	-0.8514008225293542	True	False
high_sys	0.2	P4x5	205	-0.5313869426529787	-0.80083406415846	-0.8031675279631152	-0.8533860093883634	-0.7383964215570197	True	False
high_sys	0.1	P4x5	103	-0.2988512059043184	-0.7524527852216315	-0.7571936915169353	-0.8439957386987655	-0.6398409699951676	True	False
high_sys	0.05	P4x5	52	-0.29727653035089213	-0.71401869717408	-0.7245795270212585	-0.8449287116878682	-0.532527960385896	True	False
high_sys	0.02	P4x5	21	-0.10259740259740259	-0.6546025974025974	-0.6707792207792207	-0.8792207792207792	-0.33490259740259753	True	False
high_sys	0.01	P4x5	11	-0.018181818181818184	-0.6020181818181818	-0.6545454545454545	-0.9181818181818182	-0.00909090909090909	False	False
low_R	1.0	P4x5	1024	-0.9589219521135827	-0.9585236233549103	-0.9586327538266218	-0.9636530693441099	-0.9525000019557793	False	False
low_R	0.5	P4x5	512	-0.7794583669504813	-0.8786186435874217	-0.8791169830254861	-0.9007859237670375	-0.8511168604480664	True	False
low_R	0.2	P4x5	205	-0.38933153180760816	-0.8009292975442605	-0.8013734312100402	-0.854892813862462	-0.7362846317783566	True	False
low_R	0.1	P4x5	103	-0.1355379343671748	-0.755522141194043	-0.7583853182796644	-0.8370812832227738	-0.6459665905197031	True	False
low_R	0.05	P4x5	52	-0.016989669597882694	-0.7116096644753693	-0.7206095791001452	-0.8415649278579356	-0.53033381712627	True	False
low_R	0.02	P4x5	21	0.13376623376623376	-0.6578220779220778	-0.6766233766233766	-0.8779545454545454	-0.35188311688311696	True	False
low_R	0.01	P4x5	11	0.03636363636363637	-0.6145727272727272	-0.6590909090909092	-0.9272727272727272	-0.0815909090909093	True	False
high_sys	1.0	P4x6	1024	-0.9406243741506328	-0.9403050960008226	-0.9403637805325085	-0.9486845984617517	-0.9309357733263	False	False
high_sys	0.5	P4x6	512	-0.7322750905517218	-0.8368568499588012	-0.8374552784644259	-0.8680756297314348	-0.8019957476990135	True	False
high_sys	0.2	P4x6	205	-0.4053892549205332	-0.7472702748255353	-0.7485415999219958	-0.80852262121993	-0.6735886810324414	True	False
high_sys	0.1	P4x6	103	-0.3609915213284717	-0.6980986359442956	-0.7017198963229803	-0.7976785243597065	-0.5786190857971268	True	False
