selection	fraction	group	n	observed	simulated_mean	simulated_median	pointwise_lower_025	pointwise_upper_975	observed_above_envelope	observed_below_envelope
low_R	0.01	G10	6	-0.7714285714285715	-0.4370857142857143	-0.4857142857142857	-0.9428571428571428	0.37285714285714155	False	False
high_sys	1.0	G11	512	-0.8644884721793067	-0.86368448241394	-0.8641543123648161	-0.8850606780578729	-0.8381926764149243	False	False
high_sys	0.5	G11	256	-0.5855444609750514	-0.6960108734836347	-0.6971385757610438	-0.7591091711490043	-0.6246262374113069	True	False
high_sys	0.2	G11	103	-0.27365681149233406	-0.5825381430391425	-0.5855884549488204	-0.712897025875324	-0.42503184993190707	True	False
high_sys	0.1	G11	52	-0.01118415435840519	-0.5224454879194058	-0.5212157431913258	-0.7344062153163152	-0.286493639545804	True	False
high_sys	0.05	G11	26	0.15076923076923074	-0.4795439316239316	-0.5015384615384615	-0.7538632478632479	-0.1028888888888889	True	False
high_sys	0.02	G11	11	-0.46363636363636374	-0.4308818181818182	-0.4636363636363636	-0.8456818181818182	0.17295454545454525	False	False
high_sys	0.01	G11	6	0.2571428571428572	-0.37857142857142856	-0.42857142857142855	-0.9428571428571428	0.5428571428571428	False	False
low_R	1.0	G11	512	-0.8644884721793067	-0.86368448241394	-0.8641543123648161	-0.8850606780578729	-0.8381926764149243	False	False
low_R	0.5	G11	256	-0.4766966124971388	-0.6957974522201876	-0.6973871309224079	-0.7620874699588006	-0.6214943887331197	True	False
low_R	0.2	G11	103	-0.2424878091639942	-0.5864525216359882	-0.5922110442384572	-0.7160065127619383	-0.43107180512234766	True	False
low_R	0.1	G11	52	0.06386066763425254	-0.5298560573721507	-0.5446512422095109	-0.7131755314607701	-0.29159267480577145	True	False
low_R	0.05	G11	26	-0.28478632478632476	-0.48276376068376076	-0.5001709401709402	-0.757948717948718	-0.12603418803418814	False	False
low_R	0.02	G11	11	-0.15454545454545454	-0.4080090909090909	-0.44545454545454544	-0.8363636363636363	0.19090909090909092	False	False
low_R	0.01	G11	6	-0.08571428571428573	-0.36451428571428574	-0.42857142857142855	-0.9428571428571428	0.5428571428571428	False	False
high_sys	1.0	G12	512	-0.840943772816745	-0.83934199359343	-0.8399614547212781	-0.8682805781040787	-0.8082429537206315	False	False
high_sys	0.5	G12	256	-0.4839851796749828	-0.6599146801327535	-0.6625089408331426	-0.72884718685626	-0.5738648897058823	True	False
high_sys	0.2	G12	103	-0.4374752888459342	-0.547878629793964	-0.549570575056012	-0.678253360716953	-0.40149420111584594	False	False
high_sys	0.1	G12	52	-0.05643302313668573	-0.4951709211986682	-0.5041833859813882	-0.6875843080338085	-0.26694484760522497	True	False
high_sys	0.05	G12	26	-0.009914529914529914	-0.44770735042735044	-0.465982905982906	-0.7408888888888889	-0.08989743589743592	True	False
high_sys	0.02	G12	11	0.3545454545454546	-0.3845545454545454	-0.41818181818181815	-0.8272727272727273	0.2729545454545452	True	False
high_sys	0.01	G12	6	-0.2571428571428572	-0.33817142857142857	-0.37142857142857144	-0.9428571428571428	0.6	False	False
low_R	1.0	G12	512	-0.840943772816745	-0.83934199359343	-0.8399614547212781	-0.8682805781040787	-0.8082429537206315	False	False
low_R	0.5	G12	256	-0.5029011215381093	-0.6580707727740902	-0.6603613527122911	-0.7300586697470818	-0.574790265936141	True	False
low_R	0.2	G12	103	-0.05434257347449809	-0.5464976826428853	-0.548653516671792	-0.6795279071299917	-0.3972496485524755	True	False
low_R	0.1	G12	52	-0.09912063519166738	-0.48878220780329545	-0.49637155297532654	-0.6805024331938871	-0.24973320242465644	True	False
low_R	0.05	G12	26	-0.02358974358974359	-0.4425736752136752	-0.4564102564102564	-0.7354017094017095	-0.08300854700854707	True	False
low_R	0.02	G12	11	0.33636363636363636	-0.3871090909090909	-0.4090909090909091	-0.8454545454545455	0.2459090909090905	True	False
low_R	0.01	G12	6	-0.08571428571428573	-0.3482285714285714	-0.42857142857142855	-0.9428571428571428	0.6	False	False
high_sys	1.0	P3x3	1024	-0.997102339782562	-0.9969871842366425	-0.9969989461143695	-0.9973837498770654	-0.9964879568700379	False	False
high_sys	0.5	P3x3	512	-0.9773826332383468	-0.9889431524194333	-0.988990875805381	-0.9911850563194515	-0.9864343677043637	True	False
high_sys	0.2	P3x3	205	-0.7595004944909528	-0.9766571297237815	-0.9768160354361968	-0.9839130949561923	-0.9668072947862546	True	False
high_sys	0.1	P3x3	103	0.017440583402890657	-0.9662559087115056	-0.96790844791987	-0.9804213526336599	-0.9455234371567895	True	False
high_sys	0.05	P3x3	52	-0.07598394945786732	-0.954812089131734	-0.9574831383932383	-0.9785729531290019	-0.9158178946469736	True	False
