feature	left_q05	left_q95	population_left	population_right	q05_q95_interval_overlap	right_q05	right_q95	side_count
radial_rms	0.7166135064529712	0.8259834298016459	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=16]	0.6975340848888424	0.7088477833931989	0.7983196123783503	4
angle_gap_cv	0.08880158795700899	0.4276612068472411	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=16]	0.6474652906679867	0.05865718423584082	0.32771888471475563	4
log_perimeter	1.3953300941118596	1.4856720637286507	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=1]	0.05189849440304954	1.430732433898027	2.4539278523426935	4
covariance_anisotropy	1.218007278888187	3.8344218505506307	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=1]	0.0076884205966246165	1.5141188267292491	303.00990259221754	4
radial_rms	0.7166135064529712	0.8259834298016459	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=1]	0.039532824988145115	0.7468739373239729	2.7177225215915524	4
angle_gap_cv	0.08880158795700899	0.4276612068472411	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=1]	0.23510770835905373	0.26309184460831464	0.7887759247728742	4
log_perimeter	1.3953300941118596	1.4856720637286507	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	0.1392728547964669	1.4193176116480597	1.871765018760753	4
covariance_anisotropy	1.218007278888187	3.8344218505506307	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	0.12763309337020856	1.3663138516067757	20.55553122171811	4
radial_rms	0.7166135064529712	0.8259834298016459	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	0.13942772689142702	0.7399926184351184	1.3333546187389718	4
angle_gap_cv	0.08880158795700899	0.4276612068472411	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	0.4747895192526484	0.20921976904709866	0.5488821688088872	4
log_perimeter	1.3953300941118596	1.4856720637286507	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	0.0	1.3862943611198906	1.3862943611198906	4
covariance_anisotropy	1.218007278888187	3.8344218505506307	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	0.0	1.0	1.000000000000001	4
radial_rms	0.7166135064529712	0.8259834298016459	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	0.0	0.7071067811865476	0.7071067811865477	4
angle_gap_cv	0.08880158795700899	0.4276612068472411	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	0.0	7.507042253784959e-17	5.000895941986525e-16	4
log_perimeter	1.3953300941118596	1.4856720637286507	primal-hull-uniform-disk[points=n+4,origin=interior]	zonogon[lengths=uniform(0.5,1.5)]	0.0588595028666199	1.4051741627115668	2.7629580402652314	4
covariance_anisotropy	1.218007278888187	3.8344218505506307	primal-hull-uniform-disk[points=n+4,origin=interior]	zonogon[lengths=uniform(0.5,1.5)]	0.0018552550417462108	1.958418254553668	1012.4016740976685	4
radial_rms	0.7166135064529712	0.8259834298016459	primal-hull-uniform-disk[points=n+4,origin=interior]	zonogon[lengths=uniform(0.5,1.5)]	0.04707754693927696	0.7269817811989431	2.8195618340368234	4
