stratum	n	threshold_quantile	threshold	tail_n	mean_residual_life	median_residual_life	max_excess	enough_exceedances_flag
generic:F10	512	0.81000000000000005	0.53675861127005176	98	0.078070262022866516	0.059967447301721655	0.32280099453278266	yes
generic:F10	512	0.81999999999999995	0.54574172051279324	92	0.073876491776141126	0.054828609372996329	0.31381788529004118	yes
generic:F10	512	0.82999999999999996	0.55410406861296102	87	0.06946553268005437	0.048261499622274107	0.30545553718987339	yes
generic:F10	512	0.83999999999999997	0.5599107331498242	82	0.067687721385792737	0.049665472603681871	0.29964887265301021	yes
generic:F10	512	0.84999999999999998	0.56445422073462193	77	0.067354584892407685	0.052365012410515943	0.29510538506821249	yes
generic:F10	512	0.85999999999999999	0.56906591556541508	72	0.067269969476743185	0.052492638704340289	0.29049369023741933	yes
generic:F10	512	0.87	0.57680737995082909	67	0.064297599318842727	0.051185912903542352	0.28275222585200532	yes
generic:F10	512	0.88	0.57950690866612675	62	0.066644036993377981	0.050447807425689106	0.28005269713670766	yes
generic:F10	512	0.89000000000000001	0.58372413503106191	57	0.06807159047528781	0.050177039309126203	0.27583547077177251	yes
generic:F10	512	0.90000000000000002	0.59480215016891524	52	0.063078810767376897	0.045929725678089006	0.26475745563391917	yes
generic:F10	512	0.91000000000000003	0.60017174945982799	46	0.065614960750966581	0.053351546774315861	0.25938785634300643	yes
generic:F10	512	0.92000000000000004	0.60929048234628314	41	0.064034835829863593	0.048444339002327808	0.25026912345655128	yes
generic:F10	512	0.93000000000000005	0.62010173577617023	36	0.061214406482051814	0.040607149522437713	0.23945787002666419	yes
generic:F10	512	0.93999999999999995	0.62965690857857337	31	0.060443360548877494	0.035139178435991014	0.22990269722426104	yes
generic:F10	512	0.94999999999999996	0.64034461527997388	26	0.06064059331873909	0.049689389089868308	0.21921499052286053	yes
generic:F10	512	0.95999999999999996	0.65751427775035187	21	0.055198292085360437	0.035677064492150801	0.20204532805248254	yes
generic:F10	512	0.96999999999999997	0.66459460265815506	16	0.064486967373057702	0.055338110166973986	0.19496500314467935	no
generic:F10	512	0.97999999999999998	0.69305635241962094	11	0.057543575131974563	0.052915141111244735	0.16650325338321348	no
generic:F10	512	0.98999999999999999	0.74520452176937146	6	0.035792168380444966	0.025611822342925583	0.11435508403346295	no
product:6x6	1024	0.75	0.6294873251767823	256	0.072138318373232729	0.062427187001494022	0.22412456299346484	yes
product:6x6	1024	0.76000000000000001	0.63274718740473745	246	0.071752002062835982	0.062739071363043131	0.22086470076550968	yes
product:6x6	1024	0.77000000000000002	0.63804556255724543	236	0.069365178940510003	0.062495976602361447	0.21556632561300171	yes
product:6x6	1024	0.78000000000000003	0.64297365021454156	226	0.067430381274974624	0.059027772641663756	0.21063823795570558	yes
product:6x6	1024	0.79000000000000004	0.64965266816313461	215	0.064049305149818936	0.055191999940086944	0.20395922000711253	yes
product:6x6	1024	0.80000000000000004	0.65254324355368143	205	0.064202763429606	0.055831353809990159	0.20106864461656571	yes
