stratum	n	model	threshold_quantile	threshold	tail_n	status	shape	scale	endpoint	p_sys_gt_1	predictive_at_least_one_10000	predictive_at_least_one_100000	predictive_at_least_one_1000000	bootstrap_success_count	bootstrap_p_q05	bootstrap_p_median	bootstrap_p_q95	bootstrap_endpoint_below_one_fraction	model_dominated_flag	unstable_flag	max_sys	q99_sys	error
product:4x5	1024	gpd_excess	0.80000000000000004	0.5418382639975764	205	ok	-0.41346298336611453	0.12809240576850189	0.85164206971112977	0	0	0	0	160	0	0	0	1	yes	yes	0.83812448892957969	0.73985937525205947	NA
product:4x5	1024	exponential_excess	0.90000000000000002	0.62441750588225087	103	ok	0	0.062193459823693641	infinite	0.00023980569641191023	0.90913174275001418	0.99999999996161848	1	160	0.00011332338712912735	0.00025394949744165596	0.00047286128703626605	0	yes	no	0.83812448892957969	0.73985937525205947	NA
product:4x5	1024	gpd_excess	0.90000000000000002	0.62441750588225087	103	ok	-0.34610106509617	0.082662700015666446	0.86325727944000408	0	0	0	0	160	0	0	0	1	yes	yes	0.83812448892957969	0.73985937525205947	NA
product:4x5	1024	exponential_excess	0.94999999999999996	0.67911590963771173	52	ok	0	0.041403537956001775	infinite	2.1870120500781637e-05	0.19644013922909298	0.88775103417419887	0.99999999968244169	160	4.0668388375118492e-06	2.8215178809515873e-05	9.2188043497463449e-05	0	yes	no	0.83812448892957969	0.73985937525205947	NA
product:4x5	1024	gpd_excess	0.94999999999999996	0.67911590963771173	52	ok	-0.20072027246394031	0.04981627200743613	0.92730345639577871	0	0	0	0	160	0	0	3.9016779594488771e-06	0.78749999999999998	yes	yes	0.83812448892957969	0.73985937525205947	NA
product:4x6	1024	exponential_excess	0.80000000000000004	0.55523536026140985	205	ok	0	0.083356149068963423	infinite	0.00096423391321970471	0.99993538027530005	1	1	160	0.00060540592115438947	0.00098395975411965926	0.0014452182165309885	0	yes	no	0.82926655519817316	0.75369849758019591	NA
product:4x6	1024	gpd_excess	0.80000000000000004	0.55523536026140985	205	ok	-0.40255417773882624	0.11682365802476563	0.84544141073881873	0	0	0	0	160	0	0	0	1	yes	yes	0.82926655519817316	0.75369849758019591	NA
product:4x6	1024	exponential_excess	0.90000000000000002	0.62602533863616217	103	ok	0	0.063075085132782094	infinite	0.00026766291174372614	0.9312299809432999	0.99999999999763411	1	160	0.000129791997629796	0.00025239835706843388	0.00051048775488292137	0	yes	no	0.82926655519817316	0.75369849758019591	NA
product:4x6	1024	gpd_excess	0.90000000000000002	0.62602533863616217	103	ok	-0.40089584444986825	0.087995406039089535	0.84552226597359004	0	0	0	0	160	0	0	0	0.99375000000000002	yes	yes	0.82926655519817316	0.75369849758019591	NA
product:4x6	1024	exponential_excess	0.94999999999999996	0.68061704465128059	52	ok	0	0.047302106295596828	infinite	5.934101896728434e-05	0.44756958385572798	0.99735286662961919	1	160	1.3587380028935103e-05	5.4065116651800908e-05	0.00015260144306247602	0	yes	no	0.82926655519817316	0.75369849758019591	NA
product:4x6	1024	gpd_excess	0.94999999999999996	0.68061704465128059	52	ok	-0.39120169384156928	0.064772405408547062	0.84618996120102052	0	0	0	0	160	0	0	0	0.98750000000000004	yes	yes	0.82926655519817316	0.75369849758019591	NA
generic:F12	512	exponential_excess	0.80000000000000004	0.57735162733772749	103	ok	0	0.069069943590587116	infinite	0.00044264982884730886	0.98805542731072404	1	1	160	0.00015340040623039257	0.00044661720338199805	0.00078352445464882907	0	yes	no	0.82476627462416685	0.74956011359201646	NA
generic:F12	512	gpd_excess	0.80000000000000004	0.57735162733772749	103	ok	-0.28211727523645436	0.08881714587365179	0.89217511979918851	0	0	0	0	160	0	0	1.2684772599747723e-06	0.90000000000000002	yes	yes	0.82476627462416685	0.74956011359201646	NA
generic:F12	512	exponential_excess	0.90000000000000002	0.63270397357619157	52	ok	0	0.057864778767466131	infinite	0.00017785008959352884	0.83113556875498296	0.99999998114694144	1	160	3.704545101896877e-05	0.00018470340789828187	0.00057333585170342622	0	yes	no	0.82476627462416685	0.74956011359201646	NA
generic:F12	512	gpd_excess	0.90000000000000002	0.63270397357619157	52	ok	-0.30896272613380138	0.075982449366932783	0.87863153356939061	0	0	0	0	160	0	0	2.3894386884005039e-10	0.9375	yes	yes	0.82476627462416685	0.74956011359201646	NA
generic:F12	512	exponential_excess	0.94999999999999996	0.67848253965027605	26	ok	0	0.047801415738577276	infinite	6.0896456207170857e-05	0.45609631896109232	0.99773420830558968	1	160	8.0112614928986591e-06	5.7377181845656984e-05	0.00019229408293102999	0	yes	no	0.82476627462416685	0.74956011359201646	NA
