stratum	n	model	posterior_mean_p_sys_gt_1	run_size	posterior_predictive_at_least_one
pooled:all	14336	skeptical_beta_0.01_10000	4.1091370360219278e-07	100000	0.016178176994337545
pooled:all	14336	skeptical_beta_0.01_10000	4.1091370360219278e-07	1000000	0.036707939710417303
product:3x3	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	10000	0.69519052277991622
product:3x3	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	100000	0.89930911100507782
product:3x3	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	1000000	0.96801247094393761
product:3x3	1024	uniform_beta_1_1	0.00097465886939571145	10000	0.90702947845727744
product:3x3	1024	uniform_beta_1_1	0.00097465886939571145	100000	0.98985399653413964
product:3x3	1024	uniform_beta_1_1	0.00097465886939571145	1000000	0.99897604954937846
product:3x3	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	10000	0.16322610486259659
product:3x3	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	100000	0.32431955325724082
product:3x3	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	1000000	0.46232034709288561
product:3x3	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	10000	0.0064353169918177633
product:3x3	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	100000	0.022832424665578666
product:3x3	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	1000000	0.044181165628541796
product:3x4	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	10000	0.69519052277991622
product:3x4	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	100000	0.89930911100507782
product:3x4	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	1000000	0.96801247094393761
product:3x4	1024	uniform_beta_1_1	0.00097465886939571145	10000	0.90702947845727744
product:3x4	1024	uniform_beta_1_1	0.00097465886939571145	100000	0.98985399653413964
product:3x4	1024	uniform_beta_1_1	0.00097465886939571145	1000000	0.99897604954937846
product:3x4	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	10000	0.16322610486259659
product:3x4	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	100000	0.32431955325724082
product:3x4	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	1000000	0.46232034709288561
product:3x4	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	10000	0.0064353169918177633
product:3x4	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	100000	0.022832424665578666
product:3x4	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	1000000	0.044181165628541796
product:3x5	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	10000	0.69519052277991622
product:3x5	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	100000	0.89930911100507782
product:3x5	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	1000000	0.96801247094393761
product:3x5	1024	uniform_beta_1_1	0.00097465886939571145	10000	0.90702947845727744
product:3x5	1024	uniform_beta_1_1	0.00097465886939571145	100000	0.98985399653413964
product:3x5	1024	uniform_beta_1_1	0.00097465886939571145	1000000	0.99897604954937846
product:3x5	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	10000	0.16322610486259659
product:3x5	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	100000	0.32431955325724082
product:3x5	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	1000000	0.46232034709288561
product:3x5	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	10000	0.0064353169918177633
product:3x5	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	100000	0.022832424665578666
product:3x5	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	1000000	0.044181165628541796
product:3x6	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	10000	0.69519052277991622
product:3x6	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	100000	0.89930911100507782
product:3x6	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	1000000	0.96801247094393761
product:3x6	1024	uniform_beta_1_1	0.00097465886939571145	10000	0.90702947845727744
product:3x6	1024	uniform_beta_1_1	0.00097465886939571145	100000	0.98985399653413964
product:3x6	1024	uniform_beta_1_1	0.00097465886939571145	1000000	0.99897604954937846
product:3x6	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	10000	0.16322610486259659
product:3x6	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	100000	0.32431955325724082
product:3x6	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	1000000	0.46232034709288561
product:3x6	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	10000	0.0064353169918177633
product:3x6	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	100000	0.022832424665578666
product:3x6	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	1000000	0.044181165628541796
product:4x4	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	10000	0.69519052277991622
product:4x4	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	100000	0.89930911100507782
product:4x4	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	1000000	0.96801247094393761
product:4x4	1024	uniform_beta_1_1	0.00097465886939571145	10000	0.90702947845727744
product:4x4	1024	uniform_beta_1_1	0.00097465886939571145	100000	0.98985399653413964
product:4x4	1024	uniform_beta_1_1	0.00097465886939571145	1000000	0.99897604954937846
product:4x4	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	10000	0.16322610486259659
product:4x4	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	100000	0.32431955325724082
product:4x4	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	1000000	0.46232034709288561
product:4x4	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	10000	0.0064353169918177633
product:4x4	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	100000	0.022832424665578666
product:4x4	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	1000000	0.044181165628541796
product:4x5	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	10000	0.69519052277991622
product:4x5	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	100000	0.89930911100507782
product:4x5	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	1000000	0.96801247094393761
product:4x5	1024	uniform_beta_1_1	0.00097465886939571145	10000	0.90702947845727744
product:4x5	1024	uniform_beta_1_1	0.00097465886939571145	100000	0.98985399653413964
product:4x5	1024	uniform_beta_1_1	0.00097465886939571145	1000000	0.99897604954937846
product:4x5	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	10000	0.16322610486259659
product:4x5	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	100000	0.32431955325724082
product:4x5	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	1000000	0.46232034709288561
product:4x5	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	10000	0.0064353169918177633
product:4x5	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	100000	0.022832424665578666
product:4x5	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	1000000	0.044181165628541796
product:4x6	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	10000	0.69519052277991622
product:4x6	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	100000	0.89930911100507782
product:4x6	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	1000000	0.96801247094393761
product:4x6	1024	uniform_beta_1_1	0.00097465886939571145	10000	0.90702947845727744
product:4x6	1024	uniform_beta_1_1	0.00097465886939571145	100000	0.98985399653413964
product:4x6	1024	uniform_beta_1_1	0.00097465886939571145	1000000	0.99897604954937846
product:4x6	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	10000	0.16322610486259659
product:4x6	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	100000	0.32431955325724082
product:4x6	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	1000000	0.46232034709288561
product:4x6	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	10000	0.0064353169918177633
product:4x6	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	100000	0.022832424665578666
product:4x6	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	1000000	0.044181165628541796
product:5x5	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	10000	0.69519052277991622
product:5x5	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	100000	0.89930911100507782
product:5x5	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	1000000	0.96801247094393761
product:5x5	1024	uniform_beta_1_1	0.00097465886939571145	10000	0.90702947845727744
product:5x5	1024	uniform_beta_1_1	0.00097465886939571145	100000	0.98985399653413964
product:5x5	1024	uniform_beta_1_1	0.00097465886939571145	1000000	0.99897604954937846
product:5x5	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	10000	0.16322610486259659
product:5x5	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	100000	0.32431955325724082
product:5x5	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	1000000	0.46232034709288561
product:5x5	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	10000	0.0064353169918177633
product:5x5	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	100000	0.022832424665578666
product:5x5	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	1000000	0.044181165628541796
product:5x6	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	10000	0.69519052277991622
product:5x6	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	100000	0.89930911100507782
product:5x6	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	1000000	0.96801247094393761
product:5x6	1024	uniform_beta_1_1	0.00097465886939571145	10000	0.90702947845727744
product:5x6	1024	uniform_beta_1_1	0.00097465886939571145	100000	0.98985399653413964
product:5x6	1024	uniform_beta_1_1	0.00097465886939571145	1000000	0.99897604954937846
product:5x6	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	10000	0.16322610486259659
product:5x6	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	100000	0.32431955325724082
product:5x6	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	1000000	0.46232034709288561
product:5x6	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	10000	0.0064353169918177633
product:5x6	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	100000	0.022832424665578666
product:5x6	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	1000000	0.044181165628541796
product:6x6	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	10000	0.69519052277991622
product:6x6	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	100000	0.89930911100507782
product:6x6	1024	jeffreys_beta_0.5_0.5	0.00048780487804878049	1000000	0.96801247094393761
product:6x6	1024	uniform_beta_1_1	0.00097465886939571145	10000	0.90702947845727744
product:6x6	1024	uniform_beta_1_1	0.00097465886939571145	100000	0.98985399653413964
product:6x6	1024	uniform_beta_1_1	0.00097465886939571145	1000000	0.99897604954937846
product:6x6	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	10000	0.16322610486259659
product:6x6	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	100000	0.32431955325724082
product:6x6	1024	pessimistic_beta_0.1_1000	4.9404673682130334e-05	1000000	0.46232034709288561
product:6x6	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	10000	0.0064353169918177633
product:6x6	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	100000	0.022832424665578666
product:6x6	1024	skeptical_beta_0.01_10000	9.0711093331736823e-07	1000000	0.044181165628541796
