stratum	n	rank_desc	sys	gap_from_one	gap_to_next_lower	gap_to_record	empirical_tail_mass_at_or_above_rank
product:6x6	1024	8	0.80309389731796454	0.19690610268203546	0.0012154609985163267	0.05051799085228259	0.0078125
product:6x6	1024	9	0.80187843631944822	0.19812156368055178	0.0024190334192973895	0.051733451850798917	0.0087890625
product:6x6	1024	10	0.79945940290015083	0.20054059709984917	0.003699107387154732	0.054152485270096307	0.009765625
product:6x6	1024	11	0.7957602955129961	0.2042397044870039	0.0017165658788663718	0.057851592657251039	0.0107421875
product:6x6	1024	12	0.79404372963412972	0.20595627036587028	0.0062378411393668731	0.05956815853611741	0.01171875
product:6x6	1024	13	0.78780588849476285	0.21219411150523715	0.00026345958996720764	0.065805999675484284	0.0126953125
product:6x6	1024	14	0.78754242890479564	0.21245757109520436	0.0010688811657429964	0.066069459265451491	0.013671875
product:6x6	1024	15	0.78647354773905265	0.21352645226094735	0.0010883034854973772	0.067138340431194488	0.0146484375
product:6x6	1024	16	0.78538524425355527	0.21461475574644473	0.0024374123008880089	0.068226643916691865	0.015625
product:6x6	1024	17	0.78294783195266726	0.21705216804733274	0.0012780323433924101	0.070664056217579874	0.0166015625
product:6x6	1024	18	0.78166979960927485	0.21833020039072515	0.0010512473387813692	0.071942088560972284	0.017578125
product:6x6	1024	19	0.78061855227049348	0.21938144772950652	0.0012149905751585033	0.072993335899753653	0.0185546875
product:6x6	1024	20	0.77940356169533498	0.22059643830466502	0.00058628927347914583	0.074208326474912156	0.01953125
product:6x6	1024	21	0.77881727242185583	0.22118272757814417	0.00090295143124308197	0.074794615748391302	0.0205078125
product:6x6	1024	22	0.77791432099061275	0.22208567900938725	0.00028707849311404576	0.075697567179634384	0.021484375
product:6x6	1024	23	0.77762724249749871	0.22237275750250129	0.0012869886406871034	0.07598464567274843	0.0224609375
product:6x6	1024	24	0.7763402538568116	0.2236597461431884	0.00032325907121999453	0.077271634313435533	0.0234375
product:6x6	1024	25	0.77601699478559161	0.22398300521440839	1.6368683731671219e-05	0.077594893384655528	0.0244140625
product:6x6	1024	26	0.77600062610185994	0.22399937389814006	0.00053168636418055026	0.077611262068387199	0.025390625
product:6x6	1024	27	0.77546893973767939	0.22453106026232061	0.0016868404882381949	0.078142948432567749	0.0263671875
product:6x6	1024	28	0.77378209924944119	0.22621790075055881	0.00018770479590979328	0.079829788920805944	0.02734375
product:6x6	1024	29	0.7735943944535314	0.2264056055464686	0.0049100985114970408	0.080017493716715737	0.0283203125
product:6x6	1024	30	0.76868429594203436	0.23131570405796564	0.00032635424054672235	0.084927592228212778	0.029296875
product:5x5	1024	1	0.8437955079134134	0.1562044920865866	0.0052626925272076797	0	0.0009765625
product:5x5	1024	2	0.83853281538620572	0.16146718461379428	0.033587861196780699	0.0052626925272076797	0.001953125
product:5x5	1024	3	0.80494495418942502	0.19505504581057498	0.00046864197614460146	0.038850553723988379	0.0029296875
product:5x5	1024	4	0.80447631221328042	0.19552368778671958	0.00056368608268042575	0.039319195700132981	0.00390625
product:5x5	1024	5	0.80391262613059999	0.19608737386940001	0.0046604774932760273	0.039882881782813406	0.0048828125
product:5x5	1024	6	0.79925214863732397	0.20074785136267603	0.0018541085956393921	0.044543359276089434	0.005859375
product:5x5	1024	7	0.79739804004168457	0.20260195995831543	0.013373244378971916	0.046397467871728826	0.0068359375
product:5x5	1024	8	0.78402479566271266	0.21597520433728734	0.0019948975096791832	0.059770712250700742	0.0078125
product:5x5	1024	9	0.78202989815303348	0.21797010184696652	0.00054699646018108172	0.061765609760379925	0.0087890625
product:5x5	1024	10	0.78148290169285239	0.21851709830714761	0.0019449858052152935	0.062312606220561007	0.009765625
product:5x5	1024	11	0.7795379158876371	0.2204620841123629	2.5801742887687773e-05	0.0642575920257763	0.0107421875
product:5x5	1024	12	0.77951211414474941	0.22048788585525059	0.0042244502517020388	0.064283393768663988	0.01171875
product:5x5	1024	13	0.77528766389304737	0.22471233610695263	0.0084422898621518971	0.068507844020366027	0.0126953125
product:5x5	1024	14	0.76684537403089548	0.23315462596910452	0.0014531943526489011	0.076950133882517924	0.013671875
product:5x5	1024	15	0.76539217967824658	0.23460782032175342	0.00086607161378637887	0.078403328235166825	0.0146484375
product:5x5	1024	16	0.7645261080644602	0.2354738919355398	7.9129943504896438e-05	0.079269399848953204	0.015625
product:5x5	1024	17	0.7644469781209553	0.2355530218790447	0.00017847339351051428	0.0793485297924581	0.0166015625
product:5x5	1024	18	0.76426850472744479	0.23573149527255521	0.0012058752690760066	0.079527003185968614	0.017578125
product:5x5	1024	19	0.76306262945836878	0.23693737054163122	0.0057433720019081091	0.080732878455044621	0.0185546875
product:5x5	1024	20	0.75731925745646067	0.24268074254353933	0.00012747990362127481	0.08647625045695273	0.01953125
product:5x5	1024	21	0.7571917775528394	0.2428082224471606	0.0011798732059945527	0.086603730360574005	0.0205078125
product:5x5	1024	22	0.75601190434684484	0.24398809565315516	0.0028984383049618367	0.087783603566568558	0.021484375
product:5x5	1024	23	0.75311346604188301	0.24688653395811699	0.0028070727464867273	0.090682041871530394	0.0224609375
product:5x5	1024	24	0.75030639329539628	0.24969360670460372	0.0013311035991759868	0.093489114618017122	0.0234375
product:5x5	1024	25	0.74897528969622029	0.25102471030377971	0.0015041406273907931	0.094820218217193109	0.0244140625
product:5x5	1024	26	0.7474711490688295	0.2525288509311705	0.0010418377126295564	0.096324358844583902	0.025390625
product:5x5	1024	27	0.74642931135619994	0.25357068864380006	0.0034573661872292494	0.097366196557213458	0.0263671875
product:5x5	1024	28	0.74297194516897069	0.25702805483102931	0.00017134678695862604	0.10082356274444271	0.02734375
product:5x5	1024	29	0.74280059838201207	0.25719940161798793	0.0013333110584232699	0.10099490953140133	0.0283203125
product:5x5	1024	30	0.7414672873235888	0.2585327126764112	0.0062194900107618301	0.1023282205898246	0.029296875
product:4x5	1024	1	0.83812448892957969	0.16187551107042031	0.039301801824925597	0	0.0009765625
product:4x5	1024	2	0.79882268710465409	0.20117731289534591	0.0017862634186931459	0.039301801824925597	0.001953125
product:4x5	1024	3	0.79703642368596095	0.20296357631403905	0.00016818440145494051	0.041088065243618743	0.0029296875
product:4x5	1024	4	0.79686823928450601	0.20313176071549399	0.02194609021556837	0.041256249645073684	0.00390625
product:4x5	1024	5	0.77492214906893764	0.22507785093106236	0.0018881576842632031	0.063202339860642054	0.0048828125
product:4x5	1024	6	0.77303399138467443	0.22696600861532557	0.0109496874140671	0.065090497544905257	0.005859375
