stratum	n	model	threshold_quantile	threshold	tail_n	exceedance_fraction	status	shape	scale	endpoint	conditional_survival_sys_gt_1_given_exceedance	p_sys_gt_1	predictive_at_least_one_1m	endpoint_below_1_flag	nearby_ok_fit_count	nearby_log10_p_sys_gt_1_range	nearby_finite_endpoint_range	threshold_probability_stable_flag	threshold_endpoint_stable_flag	threshold_stable_flag	max_sys	error
dataset:random_sample	4096	exponential_excess	0.81000000000000005	0.47409283939639452	779	0.190185546875	ok	0	0.097874938532167194	infinite	0.0046389992640227433	0.00088227061198088794	1	no	5	0.21628492926944798	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.81000000000000005	0.47409283939639452	779	0.190185546875	ok	-0.31456155058047858	0.12695377817581169	0.87768246419807983	0	0	0	yes	5	NA	0.0053045553618296104	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.81999999999999995	0.48076403485961472	738	0.18017578125	ok	0	0.096455590033343197	infinite	0.0045932798563353876	0.00082759778661511626	1	no	5	0.24371201440961254	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.81999999999999995	0.48076403485961472	738	0.18017578125	ok	-0.31504920186086904	0.12499518833500148	0.87751218593159053	0	0	0	yes	5	NA	0.0073610900109757349	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.82999999999999996	0.48884399565781084	697	0.170166015625	ok	0	0.093811234962833084	infinite	0.0043015849862120649	0.00073198357797602768	1	no	5	0.23195723513298283	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.82999999999999996	0.48884399565781084	697	0.170166015625	ok	-0.31092481249401438	0.12125868922011832	0.87883760294655899	0	0	0	yes	5	NA	0.0070514411487930806	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.83999999999999997	0.49856824436675706	656	0.16015625	ok	0	0.089674684619676884	infinite	0.0037287742887116893	0.00059718650717648146	1	no	5	0.27647771741126315	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.83999999999999997	0.49856824436675706	656	0.16015625	ok	-0.30019867144204082	0.11526366501086334	0.88252618947417649	0	0	0	yes	5	NA	0.0098871532747583091	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.84999999999999998	0.50692151930738005	615	0.150146484375	ok	0	0.086947834048912598	infinite	0.0034445255489963505	0.00051718340152166883	1	no	5	0.29657886474285267	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.84999999999999998	0.50692151930738005	615	0.150146484375	ok	-0.29500152017330405	0.1114049958744868	0.88456362708038361	0	0	0	yes	5	NA	0.011488254307007617	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.85999999999999999	0.51581363842509587	574	0.14013671875	ok	0	0.083936850161326959	infinite	0.003124565683242301	0.00043786638236842791	1	no	5	0.24668406075013438	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.85999999999999999	0.51581363842509587	574	0.14013671875	ok	-0.28826932623260104	0.10711675960188069	0.88739933920634884	0	0	0	yes	5	NA	0.0077996677793901181	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.87	0.5248082209129985	533	0.130126953125	ok	0	0.081043645035870956	infinite	0.002841549409036834	0.00036976216675210755	1	no	5	0.35494649853982807	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.87	0.5248082209129985	533	0.130126953125	ok	-0.28174726279885942	0.10298359354366396	0.89032585725356661	0	0	0	yes	5	NA	0.01883761444157539	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.88	0.53275884025193276	492	0.1201171875	ok	0	0.07957097881697385	infinite	0.0028172200538240759	0.00033839654943394661	1	no	5	0.50888600559900476	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.88	0.53275884025193276	492	0.1201171875	ok	-0.28324935504002169	0.10107620785047931	0.88960416417578692	0	0	0	yes	5	NA	0.051914264557034739	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.89000000000000001	0.54550509452711915	451	0.110107421875	ok	0	0.073565378663279501	infinite	0.0020743473732802247	0.0002284010413450638	1	no	5	0.47986195146990429	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.89000000000000001	0.54550509452711915	451	0.110107421875	ok	-0.25705114018515407	0.09199761265289709	0.903401241521959	0	0	0	yes	5	NA	0.04970943958759666	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.90000000000000002	0.55894262137915063	410	0.10009765625	ok	0	0.066789017502303816	infinite	0.0013552882986924422	0.00013566118224216339	1	no	5	0.51136226858154155	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.90000000000000002	0.55894262137915063	410	0.10009765625	ok	-0.21304503454362761	0.081036149081442466	0.93931360376338358	0	0	0	yes	5	NA	0.04970943958759666	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.91000000000000003	0.56710045658095809	369	0.090087890625	ok	0	0.065584837855535483	infinite	0.0013595466164953293	0.00012247868688642003	1	no	5	0.37543269688547642	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.91000000000000003	0.56710045658095809	369	0.090087890625	ok	-0.2158756460437492	0.079748406330372917	0.93651872025212346	0	0	0	yes	5	NA	0.035912362241424578	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.92000000000000004	0.57652960464383285	328	0.080078125	ok	0	0.063737316799963514	infinite	0.0013018164697140482	0.00010424702198882026	1	no	5	0.20232586336095215	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.92000000000000004	0.57652960464383285	328	0.080078125	ok	-0.21349217761805231	0.077368883002708638	0.93892640936950889	0	0	0	yes	5	NA	0.015765006644467894	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.93000000000000005	0.58587192404844379	287	0.070068359375	ok	0	0.062836274121367608	infinite	0.0013732304787604185	9.6220006690488302e-05	1	no	5	0.26170494054668803	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.93000000000000005	0.58587192404844379	287	0.070068359375	ok	-0.22336951420710399	0.076826954848391832	0.929817493886409	0	0	0	yes	5	NA	0.015377812250593204	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.93999999999999995	0.59671257890036478	246	0.06005859375	ok	0	0.061488101568035573	infinite	0.0014176028412389748	8.5139233140817333e-05	1	no	5	0.33968328084114008	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.93999999999999995	0.59671257890036478	246	0.06005859375	ok	-0.231293628457092	0.075595088564236884	0.92354859711891568	0	0	0	yes	5	NA	0.015377812250593204	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.94999999999999996	0.6101385841537581	205	0.050048828125	ok	0	0.058932266833908731	infinite	0.0013395584489882043	6.7043330576802221e-05	1	no	5	0.51023727828859311	NA	yes	yes	yes	0.85955960580283441	NA
