accepted_rows	attempts_total_accepted_prefix	attempts_total_with_exhaustion	censored	comparison_eligible	exhausted_rows	first_hit_accepted_index	first_hit_attempt	generator_ms	population	region	rejections_in_accepted_prefix	rejections_with_exhaustion	requested_rows	seed	seed_role	side_count	support_overlap	validation_ms_estimate
24	24	24	True	True	0	NA	NA	0.024629000000000005	regular-mutation[steps=4,scale=0.03]	central_symmetry_residual_high	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	24	24	False	True	0	9	9	0.019077	repulsive-gap[alpha=16]	central_symmetry_residual_high	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	82	24	False	True	0	2	17	0.029831	repulsive-gap[alpha=1]	central_symmetry_residual_high	58	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	30	24	False	True	0	8	11	0.023443000000000002	repulsive-gap[alpha=4]	central_symmetry_residual_high	6	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.010971	repulsive-gap[regular]	central_symmetry_residual_high	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	96	24	False	True	0	11	44	0.07508	current-baseline[delta=0.2]	support_novelty_high	72	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
17	854	913	False	True	7	4	380	1.5733940000000002	primal-hull-uniform-disk[points=n+4,origin=interior]	support_novelty_high	837	896	24	20260717	confirmation-1	3	1.0	14.997356564216457
24	24	24	True	True	0	NA	NA	0.03771100000000001	regular-mutation[steps=4,scale=0.03]	support_novelty_high	0	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	26	24	False	True	0	23	25	0.020046000000000005	repulsive-gap[alpha=16]	support_novelty_high	2	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	71	24	False	True	0	3	9	0.043561	repulsive-gap[alpha=1]	support_novelty_high	47	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	29	24	False	True	0	1	1	0.06114800000000001	repulsive-gap[alpha=4]	support_novelty_high	5	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.018194000000000002	repulsive-gap[regular]	support_novelty_high	0	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	73	24	False	True	0	7	22	0.07970200000000002	current-baseline[delta=0.2]	support_novelty_high	49	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
17	937	913	False	True	7	12	708	1.6511010000000002	primal-hull-uniform-disk[points=n+4,origin=interior]	support_novelty_high	920	896	24	20260718	confirmation-2	3	1.0	14.997356564216457
24	24	24	True	True	0	NA	NA	0.024629000000000005	regular-mutation[steps=4,scale=0.03]	support_novelty_high	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.019077	repulsive-gap[alpha=16]	support_novelty_high	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	82	24	False	True	0	1	9	0.029831	repulsive-gap[alpha=1]	support_novelty_high	58	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	30	24	False	True	0	4	6	0.023443000000000002	repulsive-gap[alpha=4]	support_novelty_high	6	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.010971	repulsive-gap[regular]	support_novelty_high	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	53	24	True	True	0	NA	NA	0.030344999999999997	current-baseline[delta=0.2]	covariance_anisotropy_low	29	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	198	24	True	True	0	NA	NA	0.23972799999999997	primal-hull-uniform-disk[points=n+4,origin=interior]	covariance_anisotropy_low	174	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.044181000000000005	regular-mutation[steps=4,scale=0.03]	covariance_anisotropy_low	0	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.023304000000000005	repulsive-gap[alpha=16]	covariance_anisotropy_low	0	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	47	24	True	True	0	NA	NA	0.031285	repulsive-gap[alpha=1]	covariance_anisotropy_low	23	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	26	24	True	True	0	NA	NA	0.025521	repulsive-gap[alpha=4]	covariance_anisotropy_low	2	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	24	24	False	True	0	1	1	0.018276	repulsive-gap[regular]	covariance_anisotropy_low	0	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.022708999999999997	zonogon[lengths=uniform(0.5,1.5)]	covariance_anisotropy_low	0	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	70	24	True	True	0	NA	NA	0.04968	current-baseline[delta=0.2]	covariance_anisotropy_low	46	0	24	20260718	confirmation-2	4	1.0	21.172738678893822
24	229	24	True	True	0	NA	NA	0.24709700000000004	primal-hull-uniform-disk[points=n+4,origin=interior]	covariance_anisotropy_low	205	0	24	20260718	confirmation-2	4	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.027592	regular-mutation[steps=4,scale=0.03]	covariance_anisotropy_low	0	0	24	20260718	confirmation-2	4	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.015021000000000001	repulsive-gap[alpha=16]	covariance_anisotropy_low	0	0	24	20260718	confirmation-2	4	1.0	21.172738678893822
24	42	24	True	True	0	NA	NA	0.023816000000000004	repulsive-gap[alpha=1]	covariance_anisotropy_low	18	0	24	20260718	confirmation-2	4	0.9999988675484761	21.172738678893822
24	24	24	True	True	0	NA	NA	0.023535999999999998	repulsive-gap[alpha=4]	covariance_anisotropy_low	0	0	24	20260718	confirmation-2	4	1.0	21.172738678893822
24	24	24	False	True	0	1	1	0.011560000000000003	repulsive-gap[regular]	covariance_anisotropy_low	0	0	24	20260718	confirmation-2	4	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.03294000000000001	zonogon[lengths=uniform(0.5,1.5)]	covariance_anisotropy_low	0	0	24	20260718	confirmation-2	4	1.0	21.172738678893822
24	53	24	False	True	0	2	8	0.030344999999999997	current-baseline[delta=0.2]	covariance_anisotropy_high	29	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
24	198	24	True	True	0	NA	NA	0.23972799999999997	primal-hull-uniform-disk[points=n+4,origin=interior]	covariance_anisotropy_high	174	0	24	20260717	confirmation-1	4	1.0	21.172738678893822
