source	seed	bucket	q_low	q_high	n	mean_sys	min_sys	max_sys	sys_gt_1
frozen-100k-stage1	1618033	4x5	0.005	0.01	50	0.6556520796261455	0.39908186023005027	0.8415287350812499	0
frozen-100k-stage1	1618033	4x6	0.0	0.001	10	0.6144178509141096	0.4816938246484941	0.701999270086369	0
frozen-100k-stage1	1618033	4x6	0.001	0.002	10	0.6326198924865722	0.514737463893703	0.7240663301215833	0
frozen-100k-stage1	1618033	4x6	0.002	0.005	30	0.612960984756843	0.47672564041547977	0.7821051169300183	0
frozen-100k-stage1	1618033	4x6	0.005	0.01	50	0.6618155038623089	0.5073927680850687	0.8450097822578725	0
frozen-100k-stage1	1618033	5x5	0.0	0.001	10	0.5967489455219559	0.4558226896445708	0.7251619399348183	0
frozen-100k-stage1	1618033	5x5	0.001	0.002	10	0.6231872058801	0.4785677790167739	0.7366713823628926	0
frozen-100k-stage1	1618033	5x5	0.002	0.005	30	0.624446941229555	0.43132574454383904	0.7444978132893917	0
frozen-100k-stage1	1618033	5x5	0.005	0.01	50	0.6469844756510957	0.42758220821848836	0.8244704669970696	0
frozen-100k-stage1	1618033	5x6	0.0	0.001	10	0.5741697393240444	0.4240744525740104	0.6358492856628143	0
frozen-100k-stage1	1618033	5x6	0.001	0.002	10	0.6546136690212564	0.5326309696261641	0.7738176346957262	0
frozen-100k-stage1	1618033	5x6	0.002	0.005	30	0.6464677337566704	0.4774097598013778	0.8971171667308935	0
frozen-100k-stage1	1618033	5x6	0.005	0.01	50	0.6620361508731126	0.4587234144721154	0.8086309933127086	0
frozen-100k-stage1	1618033	6x6	0.0	0.001	10	0.6302073583355646	0.5417961531098906	0.7129604370086456	0
frozen-100k-stage1	1618033	6x6	0.001	0.002	10	0.650878708339192	0.5610146806865948	0.7663681240952211	0
frozen-100k-stage1	1618033	6x6	0.002	0.005	30	0.6472398871268878	0.5134898576821538	0.7516158657323636	0
frozen-100k-stage1	1618033	6x6	0.005	0.01	50	0.6534635202767999	0.4338598957159453	0.871855397401121	0
frozen-100k-stage1	1618033	all_equal_count_buckets	0.0	0.001	100	0.6249642205752306	0.4240744525740104	0.8450273730212431	0
frozen-100k-stage1	1618033	all_equal_count_buckets	0.001	0.002	100	0.6386189249991056	0.43050344896299325	0.8530387354112793	0
frozen-100k-stage1	1618033	all_equal_count_buckets	0.002	0.005	300	0.6332688409435137	0.4044234884874157	0.9023838838805844	0
frozen-100k-stage1	1618033	all_equal_count_buckets	0.005	0.01	500	0.6394315555913896	0.39908186023005027	0.871855397401121	0
