chord_witness_id	chosen_witness_id	disagree	frame_witness_id	mode	side_count	step
witness-bc1189ab7d849e4a940e	witness-8171cd3bc8bcc0698332	True	witness-8171cd3bc8bcc0698332	offline_greedy_frame	6	1
witness-bc1189ab7d849e4a940e	witness-b52d0b7e08c046ac8a39	True	witness-b52d0b7e08c046ac8a39	offline_greedy_frame	6	2
witness-b8aa9f6601d949890333	witness-bc1189ab7d849e4a940e	True	witness-bc1189ab7d849e4a940e	offline_greedy_frame	6	3
witness-b8aa9f6601d949890333	witness-e38b1197d8a438306e1c	True	witness-e38b1197d8a438306e1c	offline_greedy_frame	6	4
witness-b8aa9f6601d949890333	witness-e540d920dcd590b35122	True	witness-e540d920dcd590b35122	offline_greedy_frame	6	5
witness-b8aa9f6601d949890333	witness-ca83c38f19865894ba98	True	witness-ca83c38f19865894ba98	offline_greedy_frame	6	6
witness-b8aa9f6601d949890333	witness-a3cea945262062a9cb24	True	witness-a3cea945262062a9cb24	offline_greedy_frame	6	7
witness-b8aa9f6601d949890333	witness-fab61b36aa3c185f17e7	True	witness-fab61b36aa3c185f17e7	offline_greedy_frame	6	8
witness-b8aa9f6601d949890333	witness-507ef466388873ca99c4	True	witness-507ef466388873ca99c4	offline_greedy_frame	6	9
witness-b8aa9f6601d949890333	witness-a02f933a32a6a3cef0b9	True	witness-a02f933a32a6a3cef0b9	offline_greedy_frame	6	10
witness-b8aa9f6601d949890333	witness-253d7d90e39575f15aa4	True	witness-253d7d90e39575f15aa4	offline_greedy_frame	6	11
witness-b8aa9f6601d949890333	witness-c704055c9c45a9ca01e2	True	witness-c704055c9c45a9ca01e2	offline_greedy_frame	6	12
witness-b8aa9f6601d949890333	witness-8d889a0212419e08b31d	True	witness-8d889a0212419e08b31d	offline_greedy_frame	6	13
witness-b8aa9f6601d949890333	witness-2808d975f708bde4cbfe	True	witness-2808d975f708bde4cbfe	offline_greedy_frame	6	14
witness-043d3e8236185769402a	witness-c815c25c56b3c6d56305	True	witness-c815c25c56b3c6d56305	offline_greedy_frame	6	15
witness-9969c6a2b624b790a4d0	witness-fa6d250544de63aee6d7	True	witness-fa6d250544de63aee6d7	offline_greedy_frame	6	16
witness-9969c6a2b624b790a4d0	witness-e98125a0446d68685b3e	True	witness-e98125a0446d68685b3e	offline_greedy_frame	6	17
witness-9969c6a2b624b790a4d0	witness-9969c6a2b624b790a4d0	False	witness-9969c6a2b624b790a4d0	offline_greedy_frame	6	18
witness-a83fcec618e6b1b2b658	witness-480a2eea018b5481b2d7	True	witness-480a2eea018b5481b2d7	offline_greedy_frame	6	19
witness-a83fcec618e6b1b2b658	witness-af3dbff44adfdbdabc83	True	witness-af3dbff44adfdbdabc83	offline_greedy_frame	6	20
witness-a83fcec618e6b1b2b658	witness-a83fcec618e6b1b2b658	False	witness-a83fcec618e6b1b2b658	offline_greedy_frame	6	21
witness-b8aa9f6601d949890333	witness-fc87ffc6ecad898c2a2e	True	witness-fc87ffc6ecad898c2a2e	offline_greedy_frame	6	22
witness-b8aa9f6601d949890333	witness-043d3e8236185769402a	True	witness-043d3e8236185769402a	offline_greedy_frame	6	23
witness-b8aa9f6601d949890333	witness-d001479972491e5c97ef	True	witness-d001479972491e5c97ef	offline_greedy_frame	6	24
witness-bc1189ab7d849e4a940e	witness-bc1189ab7d849e4a940e	True	witness-8171cd3bc8bcc0698332	offline_greedy_chord	6	1
witness-b8aa9f6601d949890333	witness-b8aa9f6601d949890333	True	witness-8171cd3bc8bcc0698332	offline_greedy_chord	6	2
witness-b52d0b7e08c046ac8a39	witness-b52d0b7e08c046ac8a39	True	witness-8171cd3bc8bcc0698332	offline_greedy_chord	6	3
witness-fc87ffc6ecad898c2a2e	witness-fc87ffc6ecad898c2a2e	True	witness-8171cd3bc8bcc0698332	offline_greedy_chord	6	4
witness-8171cd3bc8bcc0698332	witness-8171cd3bc8bcc0698332	False	witness-8171cd3bc8bcc0698332	offline_greedy_chord	6	5
witness-af3dbff44adfdbdabc83	witness-af3dbff44adfdbdabc83	True	witness-e38b1197d8a438306e1c	offline_greedy_chord	6	6
witness-9969c6a2b624b790a4d0	witness-9969c6a2b624b790a4d0	True	witness-e38b1197d8a438306e1c	offline_greedy_chord	6	7
witness-ff15580e961722cbc4d9	witness-ff15580e961722cbc4d9	True	witness-e38b1197d8a438306e1c	offline_greedy_chord	6	8
witness-507ef466388873ca99c4	witness-507ef466388873ca99c4	True	witness-e38b1197d8a438306e1c	offline_greedy_chord	6	9
witness-c704055c9c45a9ca01e2	witness-c704055c9c45a9ca01e2	True	witness-e38b1197d8a438306e1c	offline_greedy_chord	6	10
witness-9e11bc0f95efacea6dbc	witness-9e11bc0f95efacea6dbc	True	witness-e38b1197d8a438306e1c	offline_greedy_chord	6	11
witness-253d7d90e39575f15aa4	witness-253d7d90e39575f15aa4	True	witness-ca83c38f19865894ba98	offline_greedy_chord	6	12
witness-a83fcec618e6b1b2b658	witness-a83fcec618e6b1b2b658	True	witness-ca83c38f19865894ba98	offline_greedy_chord	6	13
witness-fab61b36aa3c185f17e7	witness-fab61b36aa3c185f17e7	True	witness-ca83c38f19865894ba98	offline_greedy_chord	6	14
witness-c815c25c56b3c6d56305	witness-c815c25c56b3c6d56305	True	witness-ca83c38f19865894ba98	offline_greedy_chord	6	15
witness-fa6d250544de63aee6d7	witness-fa6d250544de63aee6d7	True	witness-ca83c38f19865894ba98	offline_greedy_chord	6	16
witness-e98125a0446d68685b3e	witness-e98125a0446d68685b3e	True	witness-ca83c38f19865894ba98	offline_greedy_chord	6	17
witness-9f945b258e6fa8bb6672	witness-9f945b258e6fa8bb6672	True	witness-ca83c38f19865894ba98	offline_greedy_chord	6	18
